precinct_full_name,precinct_number,precinct_ward,tract_commarea_num,tract_countyfp,tract_geoid,tract_name,tract_statefp
39012,12,39,14,031,17031140302,1403.02,17
39039,39,39,13,031,17031130200,1302,17
40001,1,40,4,031,17031040202,402.02,17
40002,2,40,2,031,17031020801,208.01,17
40005,5,40,4,031,17031040201,402.01,17
40006,6,40,4,031,17031040201,402.01,17
40009,9,40,2,031,17031020902,209.02,17
40010,10,40,2,031,17031020802,208.02,17
40014,14,40,4,031,17031040202,402.02,17
40015,15,40,2,031,17031020801,208.01,17
40017,17,40,4,031,17031040300,403,17
40018,18,40,2,031,17031020901,209.01,17
40019,19,40,2,031,17031020801,208.01,17
40020,20,40,4,031,17031040202,402.02,17
40021,21,40,4,031,17031040100,401,17
40022,22,40,77,031,17031030400,304,17
40023,23,40,4,031,17031040100,401,17
40024,24,40,4,031,17031040202,402.02,17
40027,27,40,77,031,17031030300,303,17
40028,28,40,1,031,17031830600,8306,17
40029,29,40,2,031,17031020701,207.01,17
40030,30,40,4,031,17031040300,403,17
40031,31,40,77,031,17031030900,309,17
40032,32,40,4,031,17031040100,401,17
40033,33,40,77,031,17031030900,309,17
40034,34,40,4,031,17031040300,403,17
40036,36,40,77,031,17031030400,304,17
40037,37,40,77,031,17031030300,303,17
40035,35,40,2,031,17031020902,209.02,17
40026,26,40,77,031,17031030900,309,17
40003,3,40,4,031,17031040201,402.01,17
40011,11,40,4,031,17031040401,404.01,17
40008,8,40,4,031,17031040700,407,17
40007,7,40,4,031,17031040401,404.01,17
40012,12,40,4,031,17031040201,402.01,17
40013,13,40,4,031,17031040402,404.02,17
40016,16,40,4,031,17031040402,404.02,17
40025,25,40,3,031,17031031000,310,17
40038,38,40,4,031,17031040201,402.01,17
40004,4,40,2,031,17031020802,208.02,17
40039,39,40,2,031,17031020901,209.01,17
42003,3,42,28,031,17031281900,2819,17
42001,1,42,8,031,17031081202,812.02,17
42002,2,42,8,031,17031081403,814.03,17
42006,6,42,32,031,17031320100,3201,17
42009,9,42,32,031,17031839100,8391,17
42011,11,42,8,031,17031081403,814.03,17
42012,12,42,28,031,17031280100,2801,17
42013,13,42,32,031,17031320100,3201,17
42014,14,42,8,031,17031081800,818,17
42015,15,42,8,031,17031081800,818,17
42018,18,42,28,031,17031280100,2801,17
42019,19,42,8,031,17031081201,812.01,17
42021,21,42,28,031,17031280100,2801,17
42022,22,42,8,031,17031081500,815,17
42024,24,42,8,031,17031081201,812.01,17
42027,27,42,8,031,17031081600,816,17
42031,31,42,8,031,17031081403,814.03,17
42035,35,42,8,031,17031081401,814.01,17
42034,34,42,8,031,17031081201,812.01,17
42033,33,42,32,031,17031320400,3204,17
42032,32,42,8,031,17031081700,817,17
42030,30,42,32,031,17031320100,3201,17
42029,29,42,32,031,17031320100,3201,17
42028,28,42,32,031,17031320100,3201,17
42026,26,42,8,031,17031081403,814.03,17
42025,25,42,8,031,17031081500,815,17
42023,23,42,8,031,17031081500,815,17
42020,20,42,8,031,17031081600,816,17
42017,17,42,8,031,17031081800,818,17
42016,16,42,28,031,17031281900,2819,17
42008,8,42,8,031,17031081401,814.01,17
42007,7,42,8,031,17031081402,814.02,17
42004,4,42,8,031,17031081402,814.02,17
42005,5,42,8,031,17031081900,819,17
42036,36,42,28,031,17031280100,2801,17
42037,37,42,8,031,17031081800,818,17
42010,10,42,32,031,17031839100,8391,17
42038,38,42,8,031,17031081800,818,17
42039,39,42,8,031,17031081700,817,17
42040,40,42,32,031,17031320100,3201,17
42041,41,42,28,031,17031280100,2801,17
42042,42,42,32,031,17031320100,3201,17
44001,1,44,6,031,17031063200,632,17
44003,3,44,6,031,17031061902,619.02,17
44004,4,44,6,031,17031063302,633.02,17
44005,5,44,6,031,17031063200,632,17
44006,6,44,6,031,17031063100,631,17
44007,7,44,6,031,17031063303,633.03,17
44008,8,44,6,031,17031063302,633.02,17
44009,9,44,6,031,17031062300,623,17
44010,10,44,6,031,17031062900,629,17
44011,11,44,6,031,17031061500,615,17
44012,12,44,6,031,17031061901,619.01,17
44014,14,44,6,031,17031063000,630,17
44015,15,44,6,031,17031061901,619.01,17
44016,16,44,6,031,17031060400,604,17
44017,17,44,6,031,17031063200,632,17
44019,19,44,6,031,17031061902,619.02,17
44020,20,44,6,031,17031062100,621,17
44021,21,44,6,031,17031063100,631,17
44022,22,44,6,031,17031061901,619.01,17
44023,23,44,6,031,17031063301,633.01,17
44024,24,44,6,031,17031063302,633.02,17
44025,25,44,6,031,17031060400,604,17
44026,26,44,6,031,17031832000,8320,17
44027,27,44,6,031,17031062900,629,17
44029,29,44,6,031,17031063000,630,17
44031,31,44,6,031,17031061100,611,17
44032,32,44,6,031,17031061200,612,17
44033,33,44,6,031,17031062000,620,17
44035,35,44,6,031,17031063200,632,17
44036,36,44,6,031,17031062100,621,17
44037,37,44,6,031,17031062000,620,17
44038,38,44,6,031,17031832000,8320,17
44039,39,44,6,031,17031062200,622,17
44040,40,44,6,031,17031062900,629,17
44041,41,44,6,031,17031063301,633.01,17
44034,34,44,6,031,17031062100,621,17
44030,30,44,6,031,17031831900,8319,17
44028,28,44,6,031,17031061901,619.01,17
44018,18,44,6,031,17031063400,634,17
44013,13,44,6,031,17031062300,623,17
44002,2,44,6,031,17031062400,624,17
46001,1,46,3,031,17031031700,317,17
46004,4,46,3,031,17031830700,8307,17
46005,5,46,6,031,17031832100,8321,17
46006,6,46,3,031,17031031200,312,17
46007,7,46,3,031,17031031400,314,17
46008,8,46,3,031,17031830700,8307,17
46009,9,46,3,031,17031032100,321,17
46010,10,46,6,031,17031061000,610,17
46011,11,46,3,031,17031032100,321,17
46012,12,46,3,031,17031031700,317,17
46013,13,46,3,031,17031031400,314,17
46015,15,46,3,031,17031031400,314,17
46016,16,46,3,031,17031031700,317,17
46017,17,46,3,031,17031031400,314,17
46018,18,46,6,031,17031060800,608,17
46020,20,46,3,031,17031830700,8307,17
46022,22,46,3,031,17031031501,315.01,17
46023,23,46,3,031,17031031502,315.02,17
46024,24,46,6,031,17031060800,608,17
46025,25,46,3,031,17031031700,317,17
46026,26,46,3,031,17031031502,315.02,17
46027,27,46,3,031,17031830700,8307,17
46028,28,46,6,031,17031060800,608,17
46029,29,46,3,031,17031031400,314,17
46030,30,46,6,031,17031060900,609,17
46031,31,46,6,031,17031061800,618,17
46032,32,46,3,031,17031031501,315.01,17
46033,33,46,6,031,17031060900,609,17
46034,34,46,3,031,17031032100,321,17
46035,35,46,3,031,17031032100,321,17
46036,36,46,6,031,17031060900,609,17
46037,37,46,3,031,17031031200,312,17
46038,38,46,6,031,17031832100,8321,17
46039,39,46,6,031,17031060900,609,17
46040,40,46,3,031,17031031300,313,17
46021,21,46,3,031,17031031501,315.01,17
46019,19,46,6,031,17031060900,609,17
46014,14,46,3,031,17031031502,315.02,17
46003,3,46,6,031,17031060900,609,17
46002,2,46,3,031,17031031700,317,17
50008,8,50,2,031,17031020100,201,17
50001,1,50,2,031,17031020200,202,17
50002,2,50,2,031,17031020200,202,17
50004,4,50,2,031,17031020200,202,17
50005,5,50,2,031,17031020200,202,17
50007,7,50,2,031,17031020400,204,17
50009,9,50,2,031,17031020200,202,17
50010,10,50,2,031,17031020601,206.01,17
50011,11,50,2,031,17031020301,203.01,17
50012,12,50,2,031,17031020301,203.01,17
